Ticker,Date,Open,High,Low,Close,Volume
ALL,2025/03/10,194.79593128011123,199.60134260200928,193.5112200676663,194.90380859375,2711800
ALL,2025/03/11,194.65864380780576,199.6700084162991,190.4122220193422,197.68899536132812,3412600
ALL,2025/03/12,197.32613449779657,197.5320725760506,189.10788532816377,194.4232635498047,2688800
ALL,2025/03/13,195.15879867100477,198.34606548347094,195.15879867100477,198.10089111328125,1674200
ALL,2025/03/14,198.73832226541322,203.8477623073133,197.36535189014023,203.4849090576172,2546000
ALL,2025/03/17,202.14133880696696,207.07424542219565,201.73926425473644,206.04452514648438,3318900
ALL,2025/03/18,205.41690290312505,205.89743509624958,201.0135657845327,201.3764190673828,1894300
ALL,2025/03/19,200.6212843041175,201.33718925182225,198.8854456295747,200.9154815673828,1787800
ALL,2025/03/20,203.14167213298978,208.80030069133662,203.14167213298978,206.12298583984375,2542700
ALL,2025/03/21,204.4361971962336,206.84870454543318,201.5431277447117,202.48460388183594,2888200
ALL,2025/03/24,203.00438699379998,203.99488610359387,201.7588969512375,203.29859924316406,1240800
ALL,2025/03/25,203.8379903818823,205.30903669698583,202.1315712692297,204.10276794433594,1064600
ALL,2025/03/26,205.27959272239832,207.1527134362286,204.0144846608464,205.2403564453125,1086700
ALL,2025/03/27,206.55449728342995,206.55449728342995,203.49472595165847,205.2501678466797,1827500
ALL,2025/03/28,205.78956027180385,205.78956027180385,200.84685144495074,202.46499633789062,2113400
ALL,2025/03/31,202.06289642179806,204.43619742413586,201.13123683526766,203.07302856445312,1926300
ALL,2025/04/01,203.77911613463053,206.1229824367686,202.37672596684016,203.49472045898438,1583600
ALL,2025/04/02,202.65132643703683,203.5241465946691,199.8367294612153,201.4646759033203,1674700
ALL,2025/04/03,198.56181775100862,204.41658283823944,198.3754828376126,201.3568115234375,2010700
ALL,2025/04/04,198.44413966976617,199.71903441340612,182.63528622751863,182.96873474121094,3352200
ALL,2025/04/07,179.66379461912643,183.772919895472,172.60277499840677,177.0453338623047,4062000
ALL,2025/04/08,183.2040997049564,185.93043758942758,177.31991463672975,179.92857360839844,3087000
ALL,2025/04/09,176.5255452684788,190.4808661294341,176.5255452684788,189.2746124267578,2844000
ALL,2025/04/10,188.10755424554822,190.24548222650571,183.0275492111213,187.10723876953125,1895500
ALL,2025/04/11,185.7637099104153,189.637461860227,183.419843594311,188.8332977294922,1876900
ALL,2025/04/14,190.47104219621872,193.62888888824645,189.63744345565547,191.72633361816406,1631900
ALL,2025/04/15,192.42265955552074,194.09964387000161,190.58874508821953,190.78488159179688,1691600
ALL,2025/04/16,192.29515658513913,193.90349979447723,189.19614907116278,190.4906768798828,1596100
ALL,2025/04/17,192.02058249446452,193.0306997696767,189.43154157166475,190.902587890625,1905800
ALL,2025/04/21,188.3527494449154,189.26480585285356,181.05635803843197,183.3413848876953,1296100
ALL,2025/04/22,186.7444036804557,190.7260328702166,185.30277725461048,190.1572265625,1499300
ALL,2025/04/23,190.94178693923155,192.618786131536,189.12750566932885,190.97120666503906,1137700
ALL,2025/04/24,190.15723295341797,192.10882630078135,188.62734729847233,191.0987091064453,914300
ALL,2025/04/25,190.9810183821367,191.09869728238792,186.95035144172883,189.18634033203125,1156100
ALL,2025/04/28,189.92187150579844,191.85384667686907,188.6273436906777,191.63809204101562,1504100
ALL,2025/04/29,190.98103741984423,195.50205351431057,190.97122086767484,194.95285034179688,1462300
ALL,2025/04/30,193.91331344794244,194.77633204079004,190.77508442520988,194.56057739257812,2307700
ALL,2025/05/01,190.93200335495658,194.55077961304622,188.8038915234412,193.4327850341797,2985100
ALL,2025/05/02,194.30560388895964,196.8848281837343,192.61880296208267,195.45301818847656,1508500
ALL,2025/05/05,194.8351702289435,197.60074435752327,193.35432239335853,196.38467407226562,1292700
ALL,2025/05/06,196.13949460376838,198.67949746746578,195.76682477545936,198.15972900390625,1119900
ALL,2025/05/07,198.83642301306753,200.61148313742345,198.1793574676254,200.13095092773438,1170000
ALL,2025/05/08,199.63076605769382,202.13154749204875,198.64026704250452,198.7089080810547,1185900
ALL,2025/05/09,198.70891274477634,199.35617665389586,198.20876243186885,198.72853088378906,707200
ALL,2025/05/12,199.5719352151426,200.8272267800433,195.50204669891448,198.58143615722656,1331600
ALL,2025/05/13,198.87564168677434,200.3172682251962,197.41441197239564,198.65008544921875,1077500
ALL,2025/05/14,199.0815937116657,199.0815937116657,193.61910142057644,196.71810913085938,1458800
ALL,2025/05/15,197.6987953775493,201.6314017296397,196.97308884158667,201.30776977539062,1126000
ALL,2025/05/16,201.66082725890632,205.10307002073546,200.72915268308182,205.0246124267578,1111000
ALL,2025/05/19,205.23056332450466,206.61333538159172,204.33812503717652,205.89743041992188,1029900
ALL,2025/05/20,204.99520630025376,206.17204035948518,203.93605115766837,204.10276794433594,1058600
ALL,2025/05/21,203.28877697042245,203.79874385735295,200.52321781843685,201.3470001220703,1516000
ALL,2025/05/22,201.4842914964974,201.4842914964974,196.6298420302477,198.61085510253906,1180000
ALL,2025/05/23,198.61086740843558,200.15055474480283,197.53209414275912,199.3169708251953,821300
ALL,2025/05/27,200.78801214973925,203.39665613486346,199.13063097540154,203.2495574951172,1095400
ALL,2025/05/28,202.55324293703364,203.8575723296424,200.73896164922485,200.9743194580078,931100
ALL,2025/05/29,201.00375377278726,202.79841691842572,200.0622776466483,202.7689971923828,839000
ALL,2025/05/30,202.17077400330464,206.3289365922479,201.0429779177609,205.8189697265625,2491900
ALL,2025/06/02,204.4067643131307,208.56492692879476,202.925916536328,208.53550720214844,1567800
ALL,2025/06/03,207.79998836578437,209.06508153026826,203.23975107108538,207.18214416503906,1263500
ALL,2025/06/04,206.98601395186054,208.34918289143647,202.7199887642734,202.79843139648438,1346600
ALL,2025/06/05,203.5339529907524,203.5339529907524,200.93511059602793,202.6611328125,1000000
ALL,2025/06/06,204.03409794922194,205.15209239150857,203.04358399379586,204.0438995361328,1174000
ALL,2025/06/09,203.09791455657592,203.9453882358928,194.32754461266333,197.84555053710938,2427000
ALL,2025/06/10,197.1261628574926,197.28383586795735,192.62273839047234,193.5391845703125,1303100
ALL,2025/06/11,193.04646744561148,194.2486978349627,190.69128136218262,193.3223876953125,1904000
ALL,2025/06/12,193.31254045054771,197.56962154554006,192.79026175646663,197.402099609375,1088900
