Ticker,Date,Open,High,Low,Close,Volume
EAT,2025/03/10,136.6999969482422,140.3300018310547,134.5800018310547,140.27000427246094,1777900
EAT,2025/03/11,140.00999450683594,148.4199981689453,139.1999969482422,143.3000030517578,2036600
EAT,2025/03/12,148.4199981689453,150.80999755859375,141.11000061035156,145.61000061035156,1246800
EAT,2025/03/13,145.60000610351562,145.75,131.77999877929688,134.32000732421875,1712900
EAT,2025/03/14,136.52999877929688,141.5,134.49000549316406,139.41000366210938,1410800
EAT,2025/03/17,139.92999267578125,142.6699981689453,138.39999389648438,141.64999389648438,1110700
EAT,2025/03/18,140.00999450683594,140.8699951171875,132.07000732421875,133.4600067138672,1495100
EAT,2025/03/19,133.83999633789062,142.4600067138672,132.83999633789062,141.41000366210938,1274800
EAT,2025/03/20,139.8699951171875,147.47999572753906,139.8699951171875,145.4199981689453,1374700
EAT,2025/03/21,142.10000610351562,146.75999450683594,139.57000732421875,144.80999755859375,1265500
EAT,2025/03/24,150.52999877929688,154.9199981689453,149.02000427246094,154.14999389648438,1229900
EAT,2025/03/25,153.4199981689453,158.35000610351562,152.0,157.9499969482422,1340500
EAT,2025/03/26,157.92999267578125,157.92999267578125,152.7899932861328,154.1300048828125,1030000
EAT,2025/03/27,152.5,157.92999267578125,148.92999267578125,154.38999938964844,866600
EAT,2025/03/28,152.1199951171875,152.60000610351562,143.24000549316406,147.58999633789062,1090000
EAT,2025/03/31,143.44000244140625,150.4499969482422,140.0500030517578,149.0500030517578,1636300
EAT,2025/04/01,148.16000366210938,151.13999938964844,143.49000549316406,150.91000366210938,1387700
EAT,2025/04/02,146.3800048828125,155.7100067138672,146.25,155.25,1020800
EAT,2025/04/03,142.75999450683594,144.10000610351562,134.25,138.6999969482422,2563500
EAT,2025/04/04,131.0,138.0,126.27999877929688,135.07000732421875,2033600
EAT,2025/04/07,125.08999633789062,144.99000549316406,122.06999969482422,136.63999938964844,2031100
EAT,2025/04/08,144.5,145.47999572753906,130.1999969482422,132.91000366210938,1646500
EAT,2025/04/09,130.5800018310547,150.99000549316406,128.0,146.2899932861328,3172400
EAT,2025/04/10,139.2899932861328,146.6199951171875,137.89999389648438,142.77000427246094,1620800
EAT,2025/04/11,141.42999267578125,146.41000366210938,139.77000427246094,143.77000427246094,1277100
