Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-02-10 00:00:00-05:00,294.989990234375,297.6099853515625,290.3299865722656,291.760009765625,3837300,1.68,0.0
2026-02-11 00:00:00-05:00,292.3399963378906,293.5,272.3599853515625,272.80999755859375,7628200,0.0,0.0
2026-02-12 00:00:00-05:00,270.29998779296875,271.29998779296875,257.2200012207031,259.5199890136719,12565400,0.0,0.0
2026-02-13 00:00:00-05:00,260.0,264.6600036621094,256.6400146484375,262.3800048828125,6842600,0.0,0.0
2026-02-17 00:00:00-05:00,259.20001220703125,260.70001220703125,254.64999389648438,258.30999755859375,4929700,0.0,0.0
2026-02-18 00:00:00-05:00,258.6400146484375,261.1099853515625,256.25,260.7900085449219,3949200,0.0,0.0
2026-02-19 00:00:00-05:00,256.0,258.2799987792969,253.50999450683594,256.2799987792969,4948700,0.0,0.0
2026-02-20 00:00:00-05:00,255.1999969482422,259.0400085449219,253.8000030517578,257.1600036621094,4708600,0.0,0.0
2026-02-23 00:00:00-05:00,254.3699951171875,255.19000244140625,220.72000122070312,223.35000610351562,19522900,0.0,0.0
2026-02-24 00:00:00-05:00,227.8000030517578,236.58999633789062,223.6300048828125,229.32000732421875,13379800,0.0,0.0
2026-02-25 00:00:00-05:00,233.22000122070312,239.5500030517578,231.22000122070312,237.5399932861328,8569700,0.0,0.0
2026-02-26 00:00:00-05:00,239.7100067138672,247.49000549316406,238.9499969482422,242.00999450683594,7343100,0.0,0.0
2026-02-27 00:00:00-05:00,238.07000732421875,240.2100067138672,234.57000732421875,240.2100067138672,6642200,0.0,0.0
2026-03-02 00:00:00-05:00,235.6999969482422,240.77999877929688,233.77999877929688,239.3699951171875,6220300,0.0,0.0
2026-03-03 00:00:00-05:00,236.35000610351562,246.08999633789062,234.2899932861328,245.27999877929688,6960400,0.0,0.0
2026-03-04 00:00:00-05:00,245.75,250.85000610351562,244.9600067138672,250.05999755859375,6085000,0.0,0.0
2026-03-05 00:00:00-05:00,249.32000732421875,260.3800048828125,249.0,256.54998779296875,9894600,0.0,0.0
2026-03-06 00:00:00-05:00,256.44000244140625,259.3999938964844,252.2100067138672,258.8500061035156,6234400,0.0,0.0
2026-03-09 00:00:00-04:00,255.3800048828125,258.0799865722656,251.57000732421875,253.3300018310547,6123400,0.0,0.0
