Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-02-10 00:00:00-05:00,191.3800048828125,192.47999572753906,188.1199951171875,188.5399932861328,136764800,0.0,0.0
2026-02-11 00:00:00-05:00,192.4499969482422,193.25999450683594,188.77000427246094,190.0500030517578,144192700,0.0,0.0
2026-02-12 00:00:00-05:00,193.02999877929688,193.61000061035156,186.50999450683594,186.94000244140625,189932500,0.0,0.0
2026-02-13 00:00:00-05:00,187.47999572753906,187.5,181.58999633789062,182.80999755859375,161888000,0.0,0.0
2026-02-17 00:00:00-05:00,181.75,187.14999389648438,179.17999267578125,184.97000122070312,162276900,0.0,0.0
2026-02-18 00:00:00-05:00,188.75,190.3699951171875,186.75999450683594,187.97999572753906,164749100,0.0,0.0
2026-02-19 00:00:00-05:00,187.05999755859375,188.42999267578125,185.66000366210938,187.89999389648438,126554500,0.0,0.0
2026-02-20 00:00:00-05:00,186.57000732421875,190.3300018310547,185.94000244140625,189.82000732421875,178422300,0.0,0.0
2026-02-23 00:00:00-05:00,191.39999389648438,193.9499969482422,189.5800018310547,191.5500030517578,171584800,0.0,0.0
2026-02-24 00:00:00-05:00,191.49000549316406,193.77000427246094,187.39999389648438,192.85000610351562,175123600,0.0,0.0
2026-02-25 00:00:00-05:00,194.4499969482422,197.6300048828125,193.7899932861328,195.55999755859375,250637100,0.0,0.0
2026-02-26 00:00:00-05:00,194.27000427246094,194.2899932861328,184.32000732421875,184.88999938964844,360807900,0.0,0.0
2026-02-27 00:00:00-05:00,181.25,182.58999633789062,176.3800048828125,177.19000244140625,311636500,0.0,0.0
2026-03-02 00:00:00-05:00,175.00999450683594,183.4600067138672,174.63999938964844,182.47999572753906,209095300,0.0,0.0
2026-03-03 00:00:00-05:00,178.49000549316406,180.89999389648438,176.9199981689453,180.0500030517578,178099400,0.0,0.0
2026-03-04 00:00:00-05:00,180.44000244140625,184.6999969482422,180.05999755859375,183.0399932861328,177731200,0.0,0.0
2026-03-05 00:00:00-05:00,181.1699981689453,184.05999755859375,177.8800048828125,183.33999633789062,198779700,0.0,0.0
2026-03-06 00:00:00-05:00,179.83999633789062,182.75999450683594,176.82000732421875,177.82000732421875,189021900,0.0,0.0
2026-03-09 00:00:00-04:00,176.8300018310547,182.91000366210938,175.55999755859375,182.64999389648438,176547500,0.0,0.0
