Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-02-10 00:00:00-05:00,359.6199951171875,369.5,359.3299865722656,363.20001220703125,3506900,0.0,0.0
2026-02-11 00:00:00-05:00,367.55999755859375,369.5,353.95001220703125,354.010009765625,3437100,0.0,0.0
2026-02-12 00:00:00-05:00,356.5,359.05999755859375,340.3800048828125,342.8800048828125,4141900,0.0,0.0
2026-02-13 00:00:00-05:00,342.6000061035156,344.8699951171875,336.2099914550781,337.5,3814400,0.0,0.0
2026-02-17 00:00:00-05:00,338.7300109863281,346.6300048828125,338.0,344.5299987792969,3186000,0.0,0.0
2026-02-18 00:00:00-05:00,346.0899963378906,348.04998779296875,345.0,346.239990234375,1900600,0.0,0.0
2026-02-19 00:00:00-05:00,343.75,344.6199951171875,338.2900085449219,342.6499938964844,2786500,0.0,0.0
2026-02-20 00:00:00-05:00,341.54998779296875,346.2799987792969,338.5,346.17999267578125,2738900,0.0,0.0
2026-02-23 00:00:00-05:00,343.3500061035156,345.8299865722656,317.1499938964844,321.239990234375,7092600,0.0,0.0
2026-02-24 00:00:00-05:00,320.489990234375,323.5899963378906,316.07000732421875,320.4800109863281,7925900,0.0,0.0
2026-02-25 00:00:00-05:00,323.4599914550781,329.1300048828125,322.32000732421875,327.0899963378906,3843800,0.0,0.0
2026-02-26 00:00:00-05:00,329.8399963378906,336.6199951171875,329.75,335.32000732421875,3215500,0.0,0.0
2026-02-27 00:00:00-05:00,320.8999938964844,321.510009765625,307.6499938964844,308.8999938964844,9817300,0.0,0.0
2026-03-02 00:00:00-05:00,303.20001220703125,310.4200134277344,301.2799987792969,307.42999267578125,6280000,0.0,0.0
2026-03-03 00:00:00-05:00,300.1099853515625,309.4100036621094,299.75,307.82000732421875,5673100,0.0,0.0
2026-03-04 00:00:00-05:00,309.1099853515625,312.4599914550781,307.0,311.2099914550781,4055200,0.0,0.0
2026-03-05 00:00:00-05:00,306.8599853515625,309.5,304.79998779296875,307.2099914550781,4601800,0.0,0.0
2026-03-06 00:00:00-05:00,300.67999267578125,303.0,294.510009765625,301.0,5500100,0.0,0.0
2026-03-09 00:00:00-04:00,294.5299987792969,306.29998779296875,292.42999267578125,305.3800048828125,4692400,0.0,0.0
