Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-02-10 00:00:00-05:00,128.94000244140625,129.33999633789062,126.38999938964844,126.69999694824219,24662000,0.0,0.0
2026-02-11 00:00:00-05:00,126.69999694824219,129.74000549316406,126.62999725341797,128.77000427246094,19232100,0.0,0.0
2026-02-12 00:00:00-05:00,129.3800048828125,134.49000549316406,129.30999755859375,133.63999938964844,33382700,0.0,0.0
2026-02-13 00:00:00-05:00,132.6999969482422,134.64999389648438,131.75,133.88999938964844,24131200,0.0,0.0
2026-02-17 00:00:00-05:00,133.11000061035156,134.69000244140625,128.16000366210938,128.85000610351562,37995900,0.0,0.0
2026-02-18 00:00:00-05:00,128.1300048828125,128.8699951171875,125.7699966430664,126.62000274658203,36485000,0.0,0.0
2026-02-19 00:00:00-05:00,128.5,130.10000610351562,124.4000015258789,124.87000274658203,42993300,0.0,0.0
2026-02-20 00:00:00-05:00,123.0,123.4800033569336,121.05000305175781,122.98999786376953,35151000,0.0,0.0
2026-02-23 00:00:00-05:00,123.5199966430664,126.80000305175781,122.95999908447266,125.80999755859375,25662800,0.0,0.0
2026-02-24 00:00:00-05:00,125.9000015258789,128.0399932861328,124.91000366210938,126.75,20161200,0.0,0.0
2026-02-25 00:00:00-05:00,126.61000061035156,127.4000015258789,125.41999816894531,125.75,17345700,0.0,0.0
2026-02-26 00:00:00-05:00,125.9800033569336,127.33000183105469,123.94000244140625,124.41999816894531,18638300,0.0,0.0
2026-02-27 00:00:00-05:00,125.5199966430664,128.60000610351562,125.1500015258789,127.94999694824219,29205500,0.0,0.0
2026-03-02 00:00:00-05:00,127.45999908447266,128.75,127.05000305175781,127.0999984741211,17091500,0.0,0.0
2026-03-03 00:00:00-05:00,126.5199966430664,128.3699951171875,125.66999816894531,127.91000366210938,16480400,0.0,0.0
2026-03-04 00:00:00-05:00,127.11000061035156,128.1699981689453,126.23999786376953,127.80999755859375,16434100,0.0,0.0
2026-03-05 00:00:00-05:00,125.37999725341797,125.68000030517578,121.6500015258789,123.30999755859375,28604900,0.0,0.0
2026-03-06 00:00:00-05:00,122.5,124.19000244140625,121.62000274658203,123.80000305175781,21553000,0.0,0.0
2026-03-09 00:00:00-04:00,123.69000244140625,124.51000213623047,122.5,124.33999633789062,19369200,0.0,0.0
