Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-02-10 00:00:00-05:00,157.52999877929688,160.14999389648438,156.72000122070312,159.0800018310547,9910100,0.0,0.0
2026-02-11 00:00:00-05:00,158.63999938964844,161.13999938964844,158.19000244140625,160.0,10217300,0.0,0.0
2026-02-12 00:00:00-05:00,160.02000427246094,163.13999938964844,159.64999389648438,161.2100067138672,13512900,0.0,0.0
2026-02-13 00:00:00-05:00,161.74000549316406,162.57000732421875,159.7100067138672,160.07000732421875,13998900,0.0,0.0
2026-02-17 00:00:00-05:00,159.9499969482422,162.1699981689453,158.8800048828125,159.5500030517578,13319100,0.0,0.0
2026-02-18 00:00:00-05:00,158.97999572753906,158.97999572753906,155.77000427246094,156.86000061035156,14434300,0.0,0.0
2026-02-19 00:00:00-05:00,156.8300018310547,159.9600067138672,156.8300018310547,158.55999755859375,10724600,0.0,0.0
2026-02-20 00:00:00-05:00,159.1300048828125,161.05999755859375,158.16000366210938,160.77999877929688,11508100,0.0,0.0
2026-02-23 00:00:00-05:00,160.32000732421875,165.36000061035156,160.3000030517578,165.1699981689453,14772400,0.0,0.0
2026-02-24 00:00:00-05:00,164.89999389648438,166.8699951171875,163.94000244140625,165.27999877929688,9709500,0.0,0.0
2026-02-25 00:00:00-05:00,164.5399932861328,165.0,162.10000610351562,163.38999938964844,7878500,0.0,0.0
2026-02-26 00:00:00-05:00,164.22000122070312,164.5,162.86000061035156,163.75,7028600,0.0,0.0
2026-02-27 00:00:00-05:00,164.0399932861328,167.25,163.69000244140625,167.1999969482422,14878500,0.0,0.0
2026-03-02 00:00:00-05:00,165.2899932861328,166.5500030517578,163.4499969482422,163.50999450683594,9095500,0.0,0.0
2026-03-03 00:00:00-05:00,162.19000244140625,162.19000244140625,158.6199951171875,159.72000122070312,10161000,0.0,0.0
2026-03-04 00:00:00-05:00,159.44000244140625,159.61000061035156,157.30999755859375,158.3000030517578,8752700,0.0,0.0
2026-03-05 00:00:00-05:00,156.94000244140625,157.10000610351562,153.77000427246094,153.99000549316406,10060300,0.0,0.0
2026-03-06 00:00:00-05:00,153.66000366210938,154.42999267578125,151.88999938964844,153.6300048828125,8187900,0.0,0.0
2026-03-09 00:00:00-04:00,153.14999389648438,156.22999572753906,152.89999389648438,155.22000122070312,12493500,0.0,0.0
