Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-02-10 00:00:00-05:00,107.5999984741211,111.11000061035156,107.5999984741211,109.95999908447266,9815500,0.0,0.0
2026-02-11 00:00:00-05:00,108.93000030517578,109.87000274658203,107.80000305175781,108.12000274658203,9374900,0.0,0.0
2026-02-12 00:00:00-05:00,107.93000030517578,108.16000366210938,101.0199966430664,102.37999725341797,25319600,0.0,0.0
2026-02-13 00:00:00-05:00,101.4000015258789,105.5199966430664,101.19999694824219,105.44999694824219,12845300,0.0,0.0
2026-02-17 00:00:00-05:00,106.56999969482422,107.27999877929688,104.37000274658203,105.44000244140625,10467400,0.0,0.0
2026-02-18 00:00:00-05:00,105.95999908447266,107.7300033569336,105.80999755859375,107.0999984741211,8791600,0.0,0.0
2026-02-19 00:00:00-05:00,107.11000061035156,107.7699966430664,105.44999694824219,106.0,7492900,0.0,0.0
2026-02-20 00:00:00-05:00,105.61000061035156,106.19999694824219,104.6500015258789,105.58000183105469,9043600,0.0,0.0
2026-02-23 00:00:00-05:00,104.9800033569336,105.19000244140625,102.95999908447266,104.41000366210938,10626500,0.0,0.0
2026-02-24 00:00:00-05:00,104.44999694824219,107.2300033569336,103.9800033569336,106.05000305175781,13594800,0.0,0.0
2026-02-25 00:00:00-05:00,106.0,106.72000122070312,104.51000213623047,105.05000305175781,8556500,0.0,0.0
2026-02-26 00:00:00-05:00,105.47000122070312,106.7699966430664,105.31999969482422,105.55000305175781,9578500,0.0,0.0
2026-02-27 00:00:00-05:00,104.77999877929688,106.33999633789062,103.93000030517578,106.04000091552734,13954000,0.0,0.0
2026-03-02 00:00:00-05:00,104.61000061035156,104.61000061035156,102.86000061035156,104.33000183105469,14178600,0.0,0.0
2026-03-03 00:00:00-05:00,102.83999633789062,104.30999755859375,102.1500015258789,103.30000305175781,13608400,0.0,0.0
2026-03-04 00:00:00-05:00,103.16999816894531,103.83999633789062,102.63999938964844,103.04000091552734,9672300,0.0,0.0
2026-03-05 00:00:00-05:00,103.0999984741211,104.55000305175781,101.58999633789062,102.41000366210938,11751500,0.0,0.0
2026-03-06 00:00:00-05:00,101.38999938964844,101.80999755859375,99.94999694824219,101.54000091552734,10448600,0.0,0.0
2026-03-09 00:00:00-04:00,100.55000305175781,101.87000274658203,98.44999694824219,101.66000366210938,11712300,0.0,0.0
